 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW00019,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,KLAMATH CO,"8 MI. NW KLAMATH FALLS, GEARY RANCH",,,,,42,14,,N,121,53,,W,,16,MAR,1961,,Female,N,Ad,"E. HANSEN, -",N,SKIN AND SKULL,,N,8.98,6.45,3.45,2.58,2.27,2.08,6.35,405.00,204.00,39.00,29.00,192.00
FW00180,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"MCDONALD FOREST, JUNCTION OF SCHNEDER & NETTLETON RDS.",,,,,0,0,,N,0,0,,W,,24,SEP,1967,,Male,N,Ad,"B. J. VERTS, BJV-3-ORE",N,SKIN AND SKULL,,N,9.01,7.76,3.45,2.66,2.37,2.00,6.35,444.00,222.00,41.00,34.00,234.50
FW00289,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"7 MI. N CORVALLIS, E.E. WILSON GAME MGMT. AREA",,,,,44,41,,N,123,13,,W,,29,OCT,1968,,Male,N,Ad,"D. TRETHEWEY, -",N,SKIN AND SKULL,,N,9.02,7.36,3.32,2.48,2.33,1.88,6.19,407.00,184.00,39.00,32.00,245.70
FW00321,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WALLOWA CO,"MI. POST # 1, MINAM RIVER",,,,,45,34,,N,117,44,,W,,,APR,1968,,Female,N,,"V.L. COGGINS, -",N,SKULL ONLY,,N,9.06,8.16,3.96,2.56,2.05,2.01,6.63,350.00,140.00,35.00,26.00,246.40
FW00577,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,MALHEUR CO,3 MI. S ROME,,,,,42,47,,N,117,37,,W,,22,APR,1970,,Female,N,Ad ,"B.J. VERTS, -",N,SKIN AND SKULL,,N,7.66,5.52,3.31,2.46,1.72,1.78,5.94,286.00,118.00,29.00,28.00,122.00
FW00837,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,25,JUL,1970,,Male,N,vJuv,"S. LUDWIG, -",N,SKIN AND SKULL,,N,8.42,5.67,3.21,2.71,2.00,1.57,6.13,264.00,125.00,29.00,25.00,45.40
FW01486,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"3 MI. N OF CORVALLIS, VILLAGE GREEN AREA",,,,,44,36,,N,123,16,,W,,8,OCT,1970,,Male,N,Juv,"T.N. WILLIAMS, 1",N,SKIN AND SKULL,,N,9.48,5.91,3.43,2.49,2.13,1.86,6.24,350.00,170.00,31.00,29.00,151.00
FW01487,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,0.5 MI. N CORVALLIS,,,,,44,34,,N,123,16,,W,,7,OCT,1970,,Female,N,Ad,"S. LUDWIG, SAL 1",N,SKIN AND SKULL,,N,9.22,7.90,3.69,3.27,2.53,2.05,6.84,444.00,238.00,40.00,30.00,272.90
FW01488,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"0.25 MI. N WITHAM HILL ROAD, CORVALLIS",,,,,44,34,,N,123,16,,W,,16,OCT,1970,,Female,N,Ad,"A.M. ANDERSON, 5",N,SKIN AND SKULL,,N,9.12,7.01,3.32,2.48,2.28,1.81,6.14,384.00,190.00,39.00,29.00,174.90
FW01501,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,1,OCT,1970,,Female,N,Ad,"D.F. CARR, 3",N,SKIN AND SKULL,,N,9.00,7.66,3.15,2.59,2.56,1.76,5.96,441.00,221.00,42.00,37.00,227.00
FW01502,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,1,OCT,1970,,Female,N,Ad,"D.F. CARR, 2",N,SKIN AND SKULL,,N,9.32,6.27,3.41,2.54,2.27,1.80,6.15,412.00,208.00,41.00,34.00,188.40
FW01505,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. N, 0.5 MI. W CORVALLIS",,,,,44,35,,N,123,16,,W,,12,NOV,1970,,Male,N,Ad,"D. FRASER, 2",N,SKIN AND SKULL,,N,8.46,7.69,3.49,2.52,2.15,1.94,6.13,398.00,190.00,32.00,19.00,80.00
FW01566,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LINN CO,"2 MI. N, 1 MI. E SCIO",,,,,44,43,,N,122,50,,W,,2,NOV,1971,500,Female,N,Ad,"T. BOON, TB 4",N,SKIN AND SKULL,,N,8.60,6.41,3.42,2.51,2.13,1.83,6.30,367.00,178.00,30.00,11.00,159.00
FW01587,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,CLACKAMAS CO,"8 MI. S, 1 MI. W MOLALLA",,,,,45,2,,N,122,35,,W,,28,NOV,1971,1000,Female,N,Ad,"T. SOWA, TAS 3",N,SKIN AND SKULL,,N,8.81,6.73,3.39,2.40,2.07,1.78,6.09,380.00,191.00,42.00,39.00,208.00
FW01603,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. W CORVALLIS,,,,,44,34,,N,123,17,,W,,7,OCT,1971,220,Male,N,Ad,"R. LAYTON, RJL 4",N,SKIN AND SKULL,,N,8.87,6.37,3.41,2.48,2.09,1.83,6.12,360.00,176.00,40.00,29.00,152.80
FW01631,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"16 MI. N, 3 MI. E FRENCHGLEN","(1.25 MI. N, 0.75 MI. W BUENA VISTA)",,,,43,2,,N,118,51,,W,,17,APR,1972,4500,Male,TESTIS 18 X 10MM,Ad,"B.J VERTS, 72-27",N,SKIN AND SKULL,,N,8.05,5.94,3.04,2.45,1.98,1.85,5.67,291.00,119.00,31.00,31.00,131.00
FW01632,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"16 MI. N, 3 MI. E FRENCHGLEN","(1.25 MI. N, 0.75 MI. W BUENA VISTA STATION)",,,,43,2,,N,118,51,,W,,17,APR,1972,4500,Female,NULLIPAROUS,Juv,"B.J. VERTS, 72-26",N,SKIN AND SKULL,,N,7.36,5.25,2.95,2.35,1.59,1.50,5.38,203.00,83.00,28.00,26.00,62.00
FW01739,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 2 MI. SW TERREBONNE",,,,,0,0,,N,0,0,,W,,30,SEP,1982,,Male,TESTIS 3 X 5 MM,Juv,L.N. CARRAWAY AND B.J. VERTS,B.J. VERTS,SKIN AND SKULL,,N,9.39,7.48,3.60,2.38,2.09,1.85,6.37,331.00,139.00,41.00,33.00,193.20
FW02136,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"4 MI. S, 12 MI. W RILEY",,,,,43,29,,N,119,43,,W,,6,OCT,1972,4500,Female,PLACENTAL SCARS 2R AND 4L,Ad,"R. GARNER, RCG-72-2",N,SKIN AND SKULL,,N,7.59,5.38,3.01,2.13,1.72,1.60,5.48,262.00,112.00,31.00,30.00,110.23
FW02163,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"2 MI. S, 11 MI. W RILEY",,,,,43,31,,N,119,43,,W,,6,OCT,1972,5200,Male,TESTIS 6 X 8MM,Ad,"D.C. WOLVERTON, 72-2",N,SKIN AND SKULL,,N,7.69,6.21,2.95,2.36,1.82,1.73,5.52,281.00,118.00,32.00,32.00,
FW02246,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"3 MI. N, 1 MI. W REDMOND",,,,,44,19,,N,121,16,,W,,5,NOV,1972,3200,Male,TESTIS 6 X 3 MM,Ad ,"T. HALL, TD-72-6",N,SKIN AND SKULL,,N,8.56,7.49,3.34,2.19,1.72,1.83,5.99,307.00,124.00,34.00,28.00,209.50
FW02266,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. S, 1 MI. W MONROE",,,,,44,17,,N,123,19,,W,,24,NOV,1972,320,Male,TESTIS 6 X 10MM,Ad,"D.C. WOLVERTON, DCW-724",N,SKIN AND SKULL,,N,9.40,7.39,3.44,2.58,2.36,1.97,6.31,420.00,210.00,44.00,35.00,312.00
FW02267,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,CROOK CO,"1 MI. N, 5 MI. E OF PRINEVILLE",,,,,44,19,,N,120,44,,W,,4,NOV,1972,3000,Female,TESTIS 8 X 5MM,Juv,"R. DEWANTE, RD-72-5",N,SKIN AND SKULL,,N,9.24,8.14,3.49,3.05,2.11,1.94,6.73,381.00,160.00,46.00,34.00,346.10
FW02352,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LANE CO,MERCER,,,,,43,58,,N,124,6,,W,,16,NOV,1913,,Male,N,,"H. TELFORD, 36",N,SKIN AND SKULL,,N,9.38,8.00,3.76,2.67,2.03,1.87,6.59,394.00,188.00,45.00,,
FW02353,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,,,43,40,,N,121,48,,W,,9,APR,1914,,Female,N,,"O.J. MURIE, 258",N,SKIN AND SKULL,,N,8.61,7.79,3.59,2.60,2.02,1.92,6.41,351.00,154.00,42.00,,
FW02356,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,,,45,38,,N,120,53,,W,,29,JUL,1914,,Male,N,,"A. WALKER, 155",N,SKIN AND SKULL,,N,9.88,7.45,3.83,2.66,2.21,1.94,6.89,370.00,168.00,41.00,,
FW02358,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,,,43,40,,N,121,48,,W,,4,APR,1914,,Male,N,,"O.J. MURIE, 242",N,SKIN AND SKULL,,N,9.14,8.24,3.51,2.49,2.18,1.98,6.29,362.00,162.00,43.00,,
FW02359,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE, EAST",,,,,45,38,,N,120,53,,W,,27,JUL,1914,,Male,N,,"A. WALKER, 148",N,SKIN AND SKULL,,N,9.71,8.02,3.79,2.58,2.17,1.93,6.56,340.00,152.00,40.00,,
FW02360,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,,,45,38,,N,120,53,,W,,3,AUG,1914,,Male,N,,"A. WALKER, 174",N,SKIN AND SKULL,,N,9.87,8.06,3.67,2.56,2.19,1.91,6.46,,,,,
FW02362,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,,,43,40,,N,121,48,,W,,4,APR,1914,,Male,N,,"O.J. MURIE, 243",N,SKIN AND SKULL,,N,10.03,8.48,4.15,2.62,2.39,2.07,7.09,402.00,180.00,47.00,,
FW02363,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,,,43,40,,N,121,48,,W,,5,APR,1914,,Female,N,,"O.J. MURIE, 245",N,SKIN AND SKULL,,N,9.48,8.41,3.72,2.46,2.09,1.99,6.42,358.00,158.00,44.00,,
FW02364,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,12 MI. SE HAY CREEK,,,,,44,29,,N,120,56,,W,,21,MAY,1915,,Female,N,,"A. WALKER, 271",N,SKIN AND SKULL,,N,9.14,7.32,3.85,2.58,2.28,1.99,6.73,358.00,160.00,39.00,,
FW02365,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,,,43,40,,N,121,48,,W,,5,APR,1914,,Male,N,,"O.J. MURIE, 244",N,SKIN AND SKULL,,N,9.48,7.65,3.62,2.59,2.35,2.00,6.45,367.00,165.00,42.00,,
FW02366,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,KLAMATH CO,FORT KLAMATH,,,,,42,42,,N,121,58,,W,,28,FEB,1914,,Male,N,,"H. TELFORD, 136",N,SKIN AND SKULL,,N,9.64,8.41,3.61,2.71,2.29,1.83,6.48,387.00,165.00,42.00,,
FW02367,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,SISTERS,,,,,44,18,,N,121,33,,W,,24,JUL,1914,,Female,N,,"S.G. JEWETT, 518",N,SKIN AND SKULL,,N,8.91,8.17,3.79,2.60,2.37,1.87,6.67,370.00,163.00,43.00,,
FW02369,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,,,45,38,,N,120,53,,W,,28,JUL,1914,,Male,N,,"A. WALKER, AW-152",N,SKIN AND SKULL,,N,8.95,6.58,3.62,2.33,1.66,1.94,6.26,320.00,137.00,42.00,,
FW02370,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"CATLOW VALLEY, HOME CREEK RANCH",,,,,42,41,,N,119,12,,W,,,SEP,1913,,,N,,"S.G. JEWETT, SGJ-326",N,SKIN AND SKULL,,N,9.33,7.44,3.45,2.39,2.07,1.82,6.18,356.00,165.00,46.00,,
FW02374,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JACKSON CO,GOLD HILL,,,,,42,26,,N,123,3,,W,,22,MAR,1916,,Female,N,,"S.G. JEWETT, 687",N,SKIN AND SKULL,,N,8.42,7.63,3.49,2.29,2.18,1.88,6.08,387.00,202.00,41.00,,
FW02375,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JACKSON CO,GOLD HILL,,,,,42,26,,N,123,3,,W,,22,MAR,1916,,Female,N,,"S.G. JEWETT, 689",N,SKIN AND SKULL,,N,8.91,7.67,3.54,2.51,2.39,1.95,6.29,445.00,222.00,42.00,,
FW02376,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,DOUGLAS CO,"7 MI. NE ROSEBURG, SHORT'S RANCH",,,,,43,18,,N,123,16,,W,,3,JAN,1914,,Male,N,,"H. TELFORD, 54",N,SKIN AND SKULL,,N,8.49,8.29,3.56,2.53,2.37,1.97,6.33,457.00,222.00,41.00,,
FW02377,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,,,1913,,,N,,"S.G. JEWETT, 555",N,SKIN AND SKULL,,N,9.28,6.76,3.62,2.94,2.09,1.92,6.65,413.00,199.00,41.00,,
FW02378,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,DOUGLAS CO,"7 MI. NE ROSEBURG, SHORT'S RANCH",,,,,43,18,,N,123,16,,W,,3,JAN,1914,,Male,N,,"H. TELFORD, 53",N,SKIN AND SKULL,,N,8.84,7.05,3.48,2.63,2.09,1.93,6.36,435.00,227.00,43.00,,
FW02379,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,HAY CREEK,,,,,44,37,,N,120,56,,W,,19,MAY,1915,,Male,N,Juv,"A. WALKER, 265",N,SKIN AND SKULL,,N,8.98,6.89,3.47,2.86,2.34,1.78,6.43,285.00,121.00,40.00,,
FW02380,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,DOUGLAS CO,"7 MI. NE ROSEBURG, SHORT'S RANCH",,,,,43,18,,N,123,16,,W,,3,JAN,1914,,Male,N,,"S.G. JEWETT, SGJ-372",N,SKIN AND SKULL,,N,9.17,7.53,3.59,2.65,2.25,2.04,6.46,433.00,215.00,43.00,,
FW02381,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JACKSON CO,"12 MI. S, 0.5 MI. E ASHLAND",,,,,42,1,,N,122,42,,W,,10,OCT,1970,,Female,N,,"M. HENDRIE, 2",N,SKIN AND SKULL,,N,8.83,6.47,3.49,2.61,2.04,1.82,6.29,374.00,200.00,41.00,29.00,
FW02382,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,1 MI. N CORVALLIS,,,,,44,34,,N,123,16,,W,,20,NOV,1970,,Male,N,,"R. ARBEITER, 4",N,SKIN AND SKULL,,N,9.01,7.14,3.53,2.62,2.16,1.85,6.32,430.00,222.00,39.00,32.00,247.20
FW02395,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"0.25 MI. W WITHAM HILL ROAD, CORVALLIS",,,,,44,34,,N,123,16,,W,,28,NOV,1970,,Female,N,Ad,"M. DE BOLT, 8",N,SKIN AND SKULL,,N,8.50,7.02,3.47,2.66,2.32,1.92,6.26,388.00,185.00,35.00,27.00,
FW02396,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,1 MI. N CORVALLIS,,,,,44,34,,N,123,16,,W,,14,OCT,1970,,Female,N,Ad,"J.C. WARD, 12",N,SKIN AND SKULL,,N,9.46,6.56,3.52,2.75,2.46,1.85,6.40,415.00,218.00,40.00,31.00,336.00
FW02397,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"0.25 MI. W WITHAM HILL ROAD, CORVALLIS",,,,,44,34,,N,123,16,,W,,27,NOV,1970,,Female,N,Ad,"M. DE BOLT, 7",N,SKIN AND SKULL,,N,9.48,7.06,3.63,2.61,2.31,1.92,6.39,405.00,205.00,44.00,30.00,
FW02398,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"5 MI. N CORVALLIS, 400 YARDS E OF HIGHWAY 99W",,,,,44,38,,N,123,14,,W,,10,OCT,1970,200,Female,N,Ad,"R. JAMESON, RJJ-1",N,SKIN AND SKULL,,N,9.00,7.45,3.45,2.56,2.35,1.99,6.29,402.00,212.00,33.00,32.00,183.50
FW02400,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,MARION CO,"5 MI. N, 2.5 MI. E STAYTON",,,,,44,52,,N,122,45,,W,,29,NOV,1970,,Male,N,Ad,"R. BEITEL, RJB-3",N,SKIN AND SKULL,,N,9.18,7.73,3.65,2.56,2.43,1.97,6.49,425.00,195.00,42.00,33.00,170.40
FW02404,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,,,45,38,,N,120,53,,W,,1,AUG,1914,,,N,,"A. WALKER, AW-168",N,SKIN ONLY,,N,,,,,,,,,,,,
FW02410,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,HAY CREEK,,,,,44,37,,N,120,56,,W,,19,MAY,1915,,,N,,"A. WALKER, 268",N,SKIN ONLY,,N,,,,,,,,,,,,
FW02417,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"16 MI. E NORTH BEND, EAST FORK MILLICOMA",,,,,44,4,,N,120,59,,W,,24,MAY,1969,,Female,"PREGNANT, 3 FETUSES SIZE OF WALNUT",Ad ,"L. KUHN, -",N,SKIN AND SKULL,,N,9.59,8.20,3.85,2.65,2.24,2.08,6.81,370.00,170.00,42.00,,
FW02477,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"8 MI. S, 8 MI. W CORVALLIS",,,,,44,27,,N,123,26,,W,,29,NOV,1971,1000,Male,N,Ad,"F. O HARE, 8",N,SKIN AND SKULL,,N,9.12,7.37,3.41,2.64,2.42,1.92,6.22,406.00,203.00,41.00,33.00,283.00
FW02479,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. S, 3 MI. W GREENBERRY",,,,,44,26,,N,123,13,,W,,9,OCT,1971,1100,Male,N,Ad,"R. GEBHARDT, RG-1",N,SKIN AND SKULL,,N,8.91,6.75,3.21,2.59,2.11,1.74,6.02,359.00,152.00,41.10,31.80,205.00
FW02480,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,KLAMATH CO,"17 MI. N, 15 MI. W KLAMATH FALLS",,,,,42,29,,N,122,5,,W,,29,SEP,1971,,Male,N,Ad ,"J.P. HOPPE, JPH-3",N,SKIN AND SKULL,,N,9.09,7.92,3.47,2.66,2.37,2.01,6.13,470.00,226.00,42.00,29.00,308.00
