 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW05540,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,,,44,21,,N,121,15,,W,,26,JUN,1981,,Female,"PLACENTAL SCARS: 3L, 4R",Ad,S. GEHMAN,"B.J. VERTS, X-127",SKIN AND SKULL,,N,9.11,7.83,3.65,2.56,2.34,1.92,6.35,381.00,166.00,40.00,34.00,208.10
FW05541,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,4 MI. W TERREBONNE,,,,,44,21,,N,121,15,,W,,7,MAY,1981,,Male,TESTIS 3 X 2 MM,Ad,S. GEHMAN,"B.J. VERTS, X-128",SKIN AND SKULL,,N,9.39,7.14,3.49,2.43,2.15,1.76,6.58,324.00,139.00,41.00,32.00,154.10
FW05602,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,"T11S, R5W, SEC. 23",,,44,34,,N,123,16,,W,,26,JAN,1949,,Male,N,,"C.E. SMITH, CES-4",N,SKIN AND SKULL,,N,9.26,7.05,3.35,2.39,2.26,1.99,5.89,381.00,200.00,40.00,,
FW05603,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,14,JAN,1948,,Male,N,,"J.E. MYERS, JEM-1",N,SKIN AND SKULL,,N,9.32,7.17,3.54,2.55,2.53,2.00,6.44,439.00,197.00,39.00,,
FW05605,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,14,JAN,1948,,Male,N,,"J.R. WOODWORTH, -",N,SKIN AND SKULL,,N,8.93,8.39,3.24,2.86,2.21,1.87,6.32,470.00,220.00,44.00,,
FW05606,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"CORVALLIS, T12S, R5W, SEC. 28",,"T12S, R5W, SEC. 28",,,44,34,,N,123,16,,W,,,JAN,1949,,Female,N,,"R.L. RULIFSON, RLR-1",N,SKIN AND SKULL,,N,9.24,6.59,3.33,2.75,2.13,1.81,6.26,413.00,224.00,50.00,,
FW05607,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JOSEPHINE CO,OREGON CAVES NATIONAL MONUMENT,,,,,42,6,,N,123,24,,W,,5,AUG,1948,,Female,N,,"A.L. ROEST, ALR-12",N,SKIN AND SKULL,,N,8.59,5.96,3.19,2.27,1.88,1.70,5.92,330.00,169.00,39.00,,
FW05608,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"4 MI. NE CORVALLIS, T11S, R5W, SEC. 5",,"T11S, R5W, SEC. 5",,,44,38,,N,123,19,,W,,12,OCT,1952,,Male,N,,"D. SHUMWAY, DS-6",N,SKIN AND SKULL,,N,9.34,6.92,3.28,2.66,2.29,1.88,6.23,418.00,200.00,40.00,31.00,
FW05609,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,16,JAN,1948,,Male,N,,"F. ELLERTSON, FE-2",N,SKIN AND SKULL,,N,9.06,7.02,3.53,2.51,2.18,1.96,6.39,410.00,205.00,43.00,,
FW05610,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,10,JAN,1948,,Male,N,,"R.M. YANCEY, RMY-1-48",N,SKIN AND SKULL,,N,9.14,7.76,3.71,2.71,2.39,2.08,6.56,425.00,190.00,33.00,,
FW05611,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LINN CO,5.5 MI. W ALBANY,,,,,44,34,,N,123,10,,W,,19,APR,1940,,Male,N,,"C.L. NUNENCAMP, CLN-4-40",N,SKIN AND SKULL,,N,9.09,8.40,3.72,2.62,2.34,2.06,6.50,414.00,223.00,40.00,,
FW05612,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,,,44,34,,N,123,16,,W,,,FEB,1949,,Female,N,,"R. SCOTT, RS-8-49",N,SKIN AND SKULL,,N,8.65,6.42,3.38,2.46,1.95,1.91,6.04,357.00,190.00,39.00,,
FW05613,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,MONROE,,,,,44,19,,N,123,18,,W,,26,JAN,1950,,Male,N,,"M.L. MONTGOMERY, MLM-4-50",N,SKIN AND SKULL,,N,9.29,7.18,3.77,2.56,2.24,1.91,6.41,433.00,215.00,39.00,,
FW05614,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,5 MI. N CORVALLIS,,,,,44,38,,N,123,16,,W,,30,JAN,1949,,Female,N,,"R.M. YANCEY, RMY-26",N,SKULL ONLY,,N,9.21,6.83,3.49,2.52,2.17,1.96,6.36,395.00,210.00,43.00,,
FW05621,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T30S, R31E, SEC. 14",,"T30S, R31E, SEC. 14",,,42,58,,N,118,50,,W,,15,JUN,1953,,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-108",N,SKIN AND SKULL,,N,7.77,6.15,3.01,2.32,1.84,1.73,5.54,270.00,108.00,29.00,28.00,
FW05623,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T31S, R32 1/2 E, SEC. 23",,"T31S, R32 1/2 E, SEC. 23",,,42,52,,N,118,47,,W,,30,JUN,1953,,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-167",N,SKIN AND SKULL,,N,6.97,5.02,2.92,2.43,1.66,1.48,5.52,200.00,86.00,26.00,26.00,
FW05625,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T30S, R31E, SEC. 14",,"T30S, R31E, SEC. 14",,,42,58,,N,118,50,,W,,15,JUN,1953,,Female,N,,"C.G. AND P.A. HANSEN, CGH/PAH-105",N,SKIN AND SKULL,,N,7.21,5.29,2.84,2.11,1.57,1.56,5.19,252.00,100.00,27.00,27.00,
FW05627,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,NEVADA,WASHOE CO,"0.25 MI W CRESSLER RANCH (IXL), SHELDON ANTELOPE REFUGE",,"T47N, R22E",,,0,0,,N,0,0,,W,,20,AUG,1952,5000,Male,N,,"B. McNAB, BKM-25",N,SKIN AND SKULL,,N,8.02,5.16,3.22,2.41,1.48,1.63,5.95,272.00,110.00,32.00,26.00,
FW06368,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,13,MAY,1981,3000,Male,TESTIS 5 X 3 MM,Juv,"S. GEHMAN, SDG-81-58",N,SKIN AND SKULL,,N,9.33,6.68,3.49,2.64,1.81,1.71,6.49,251.00,102.00,35.00,25.00,87.30
FW06374,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T33S, R33E, SEC. 2",,,,,42,42,,N,118,35,,W,,14,JUL,1954,8400,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-483",N,SKIN AND SKULL,,N,10.19,7.21,3.53,2.55,2.29,1.84,6.51,390.00,175.00,47.00,32.00,
FW06380,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T33S, R34E, SEC. 3",,,,,42,42,,N,118,29,,W,,31,AUG,1954,5000,Male,N,Ad,"C.G. AND P.A. HANSEN, CGH/PAH-553",N,SKIN AND SKULL,,N,9.88,7.43,3.62,2.53,2.14,1.77,6.53,394.00,175.00,45.00,35.00,
FW06381,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,KLAMATH CO,"CRATER LAKE NATIONAL PARK, SUPERINTENDENT'S HOUSE",,,,,42,54,,N,122,9,,W,,10,JUL,1947,0,Female,4 EMBRYOS,,"O.L. WALLIS, 470710-1",N,SKIN AND SKULL,,N,8.95,7.76,3.63,2.75,2.44,2.01,6.56,365.50,163.50,43.00,31.00,
FW06383,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,LOWER BRIDGE,,,,,44,21,,N,121,17,,W,,4,MAY,1962,,Female,N,,"M. NAIL, MN-29",N,SKIN AND SKULL,,N,9.11,7.16,3.75,2.49,2.22,1.87,6.35,380.00,160.00,43.00,26.00,234.00
FW06456,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,7,MAY,1981,3000,Male,N,Juv,"S. GEHMAN, SDG-81-57",N,SKIN AND SKULL,,N,8.95,6.29,3.41,2.34,1.93,1.63,6.15,287.00,116.00,35.00,31.00,118.40
FW06532,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. N CORVALLIS, T11S, R5W, SEC. 15",,,,,44,37,,N,123,16,,W,,4,APR,1951,,Male,N,,"K.M. WALKER, KMW-698",N,SKIN AND SKULL,,ALEX WALKER 845,8.97,7.32,3.30,2.71,2.15,1.92,6.22,447.00,225.00,43.00,,
FW06534,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"TUMALO CREEK, BEND",,,,,44,4,,N,121,18,,W,,6,MAY,1925,3852,Female,N,,"A. WALKER, AW-448",N,SKIN AND SKULL,,ALEX WALKER 848,9.44,7.45,3.82,2.70,2.47,1.95,6.74,340.00,143.00,39.00,,
FW06535,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,"14 MI. SW ADEL, WARNER MOUNTAINS, BARLEY CAMP, T41S, R2","1E, EAST EDGE SEC. 8WARNER MOUNTAINS",,,,42,2,,N,120,16,,W,,13,JUL,1930,0,Male,N,,"R.R. WALKER, RRW-834",N,SKIN AND SKULL,,ALEX WALKER 849,9.68,7.55,3.72,2.49,2.15,1.89,6.52,370.00,154.00,45.00,,
FW06536,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,"14 MI. SW ADEL, WARNER MOUNTAINS, BARLEY CAMP, T41S, R2","1E, EAST EDGE SEC. 8WARNER MOUNTAINS",,,,42,2,,N,120,16,,W,,14,JUL,1930,0,Female,N,,"R.R. WALKER, RRW-835",N,SKIN AND SKULL,,ALEX WALKER 850,9.64,7.40,3.45,2.47,2.08,1.76,6.19,368.00,156.00,42.00,,
FW06863,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"6.75 MI. S, 12 MI. E FIELDS, TROUT CREEK",,"T39S, R36E, SEC. 25",,,42,10,,N,118,26,,W,,28,JUN,1982,,Male,TESTIS 5 X 3 MM,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-21",SKIN AND SKULL,,N,7.52,5.17,3.08,2.26,1.61,1.59,5.63,263.00,112.00,31.00,32.00,93.10
FW06864,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"6.75 MI. S, 12 MI. E FIELDS, TROUT CREEK",,"T39S, R36E, SEC. 25",,,42,10,,N,118,26,,W,,28,JUN,1982,,Male,TESTIS 10 X 7 MM,Ad,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-15",SKIN AND SKULL,,N,7.32,5.70,2.94,2.16,1.51,1.47,5.39,265.00,111.00,32.00,30.00,137.60
FW06865,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"3.25 MI. S, 8.5 MI. E FRENCHGLEN",,"T32S, R32 3/4 E, SEC. 20",,,42,47,,N,118,44,,W,,30,JUN,1982,,Female,NULLIPAROUS,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-28",SKIN AND SKULL,,N,9.75,7.20,3.64,2.77,2.38,1.95,6.79,293.00,121.00,40.00,32.00,129.50
FW06879,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"12 MI. S, 5 MI. E FIELDS, RED POINT SCHOOLHOUSE",,"T40S, R35E, SEC. 23",,,42,6,,N,118,35,,W,,28,JUN,1982,,Female,NULLIPAROUS,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-20",SKIN AND SKULL,,N,9.70,7.24,3.56,2.59,2.15,1.93,6.75,349.00,148.00,41.00,37.00,195.60
FW07069,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES,"1 MI. S, 2 MI. W TERREBONNE",,,,,,,,,,,,,,30,SEP,1982,,Female,NULLIPAROUS,Juv,L.N.T. CARRAWAY & B.J. VERTS,"B.J. VERTS, BJV-37",SKIN AND SKULL,,,9.47,7.36,3.62,2.51,2.15,1.85,6.56,338.00,148.00,40.00,32.00,152.20
FW07113,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S., 3 MI. W TERREBONNE",,,,,44,21,,N,121,15,,W,,9,OCT,1982,3100,Male,,Juv,B.J. VERTS & L.N. CARRAWAY,"D. DESMOND, DBD-003",,,,9.09,7.09,3.65,2.32,2.11,1.68,6.53,330.00,130.00,35.00,28.00,146.00
FW07395,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 4 MI. W TERREBONNE",,"T14S, R13E, SEC. 18",,,44,21,,N,121,16,,W,,25,SEP,1984,3100,Male,TESTIS 5 X 4 MM,Juv,B.J. VERTS & L.N. CARRAWAY,"B.J. VERTS, BJV84-1",,,,9.65,6.45,3.72,2.54,2.22,1.89,6.55,318.00,135.00,37.00,34.00,176.00
FW07440,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"18 MI. N, 1 MI. E FRENCHGLEN",,"T29S, R31E, SW 1/4 NW 1/4 SEC. 4",,,43,5,,N,118,53,,W,,15,JUN,1984,4200,Male,TESTIS 8 X 5 MM,Ad,B.J. VERTS AND L.N. CARRAWAY,"L.N. CARRAWAY, LTC-376",,,,7.44,4.95,3.07,2.18,1.53,1.68,5.52,270.00,116.00,29.00,29.00,92.90
FW07538,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"1 MI. N, 1 MI. E CORVALLIS",,,,,44,34,48,N,123,14,24,W,SCRUB APPLE FENCE ROW,26,OCT,1983,250,Female,NULLIPAROUS,Ad,J. SPITZ,"J. SPITZ, JAS83-4",,LARGE FLY LARVAE IN CENTER OF CHEST,,9.35,6.65,3.40,2.69,2.04,1.90,6.45,396.00,190.00,41.00,31.00,177.80
FW07539,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES,"1 MI. S, 6 MI. W TERREBONNE",,,,,44,20,24,N,121,3,0,W,SAGEBRUSH AND JUNIPER SHRUB,8,OCT,1983,3100,Female,NULLIPAROUS,Juv,B.J. VERTS AND L.N. CARRAWAY,"G. MILLER, GPM83-2",,,,9.34,6.80,3.44,2.49,2.12,1.71,6.29,332.00,145.00,37.00,31.00,169.50
FW08873,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"2 MI. N, 1 MI. E ADAIR VILLAGE",,"T10S, R4W, NW1/4 SEC. 19",,,,0,0,,,,0,,,7,OCT,1989,,Male,TESTIS (9 X 5 MM),Juv,B.J. VERTS,"L.F. ALEXANDER, X-1889","SKIN, SKULL, AND SKELETON",,,9.11,5.86,3.32,2.45,2.16,1.92,6.08,387.00,206.00,42.00,30.00,150.20
FW08874,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"1 MI. N, 1 MI. E ADAIR VILLAGE",,"T10S, R4W, SE1/4 SEC. 20",,,,0,0,,,,0,,,7,OCT,1989,,Female,NULLIPAROUS,Juv,B.J. VERTS,"L.F. ALEXANDER, X-1890","SKIN, SKULL, AND SKELETON",,,8.71,6.35,3.37,2.44,1.79,1.86,6.11,346.00,180.00,41.00,28.00,131.90
RCT 530,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,8,14,2023,,Male,,Ad,,,SKULL AND SKELETON,,,9.32,8.33,3.64,2.69,2.23,1.99,6.62,370.00,161.00,41.00,33.00,350.00
RCT 531,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,8,14,2023,,Female,,Ad,,,SKULL AND SKELETON,,,9.33,7.39,3.61,2.87,2.24,2.02,6.66,340.00,141.00,39.00,30.00,270.00
RCT 537,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,8,14,2023,,Female,,Ad,,,SKULL AND SKELETON,,,9.66,7.54,3.59,2.85,2.51,2.07,6.63,352.00,149.00,40.00,33.00,275.00
RCT 563,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,8,16,2023,,Female,,Ad,,,SKULL AND SKELETON,,,8.48,6.10,3.24,2.45,1.81,1.72,6.13,280.00,140.00,36.00,29.00,89.50
RCT 566,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,8,17,2023,,Female,,Ad,,,SKULL AND SKELETON,,,8.66,6.13,3.37,2.31,1.83,1.82,5.99,285.00,125.00,35.00,30.00,105.00
RCT 595,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.76,-120.55,,,,,,,,,,8,18,2023,,Male,,Ad,,,SKULL AND SKELETON,,,8.05,6.05,3.26,2.49,1.96,1.78,5.95,264.00,110.00,21.00,30.00,145.00
RCT 609,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.76,-120.55,,,,,,,,,,6,25,2024,,Male,,Ad,,,SKULL AND SKELETON,,,7.78,5.47,3.12,2.06,1.74,1.56,5.52,265.00,110.00,30.00,27.00,120.00
RCT 624,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.76,-120.55,,,,,,,,,,6,25,2024,,Male,,Ad,,,SKULL AND SKELETON,,,7.79,5.28,2.99,2.13,1.78,1.52,5.45,261.00,99.00,31.00,30.00,137.00
RCT 632,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.76,-120.56,,,,,,,,,,6,25,2024,,Female,,Ad,,,SKULL AND SKELETON,,,7.51,5.74,3.13,2.23,1.74,1.59,5.57,252.00,106.00,29.00,29.00,110.00
RCT 683,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.76,-120.55,,,,,,,,,,6,27,2024,,Male,,Ad,,,SKULL AND SKELETON,,,7.35,5.39,3.08,2.16,1.88,1.51,5.41,241.00,109.00,30.00,30.00,104.00
RCT 700,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Female,,Ad,,,SKULL AND SKELETON,,,9.49,7.28,3.69,2.79,2.45,1.92,6.70,344.00,154.00,40.00,35.00,243.00
RCT 701,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Male,,Ad,,,SKULL AND SKELETON,Yes,,9.73,6.36,3.42,2.48,2.27,1.91,6.27,356.00,138.00,40.00,33.00,205.00
RCT 702,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Male,,Juv,,,SKULL AND SKELETON,Yes,,9.54,6.22,3.52,2.62,2.16,1.83,6.55,295.00,127.00,38.00,33.00,137.00
RCT 703,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Male,,Ad,,,SKULL AND SKELETON,,,9.99,7.75,3.58,2.83,2.58,2.02,6.66,381.00,162.00,41.00,35.00,355.00
RCT 704,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Female,,Ad,,,SKULL AND SKELETON,Yes,,9.48,6.69,3.43,2.45,2.16,1.67,6.27,300.00,129.00,39.00,35.00,189.00
RCT 705,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,,,Ad,,,SKULL AND SKELETON,Yes,,9.25,6.81,3.53,2.59,2.12,1.77,6.49,302.00,129.00,39.00,34.00,185.00
RCT 714,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Female,,Ad,,,SKULL AND SKELETON,Yes,,9.03,6.47,3.42,2.35,2.10,1.76,6.04,235.00,123.00,38.00,30.00,147.00
RCT 721,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,29,2024,,Male,,Ad,,,SKULL AND SKELETON,,,10.07,7.44,3.70,2.63,2.19,1.85,6.65,350.00,153.00,41.00,32.00,238.00
RCT 723,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,6,30,2024,,Male,,Ad,,,SKULL AND SKELETON,,,9.29,7.30,3.54,2.45,2.41,1.96,6.24,420.00,204.00,40.00,33.00,325.00
RCT 725,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43,-121,,,,,,,,,,7,1,2024,,Male,,Ad,,,SKULL AND SKELETON,,,8.88,6.31,3.26,2.33,2.13,1.75,5.92,375.00,172.00,41.00,32.00,175.00