Cave_Number,Level,Bchron.Age,Rats
Modern trapping specimen,0,0,1
0/0June 2023 surface sweep,0,0,1
0/0Aug 2023 Surface Sweep,0,0,1
0/0March 2025 Surface Collecting,0,0,1
2/4C,13,2366.5575,1
5/12A,1,3600.658,
5/12A,2,4289.818,1
5/12A,3,4637.091,
5/12A,4,4932.03,
5/12A,5,5302.199,1
5/12A,6,5625.062,1
5/12A,7,6055.273,1
5/12A,8,6345.524,
5/12A,9,6657.4,
5/12A,10,7120.808,1
5/12A,11,8157.944,
5/12A,12,9109.786714,
5/12A,13,10215.703,
5/12A,14,10758.815,
5/12A,15,11596.461,
5/12A,16,11842.4875,
5/12A,17,12037.622,1
5/12A,18,12186.299,
5/12A,19,12396.27,1
5/12A,20,12510.088,1
5/12A,21,12625.737,1
5/12A,22,12786.481,1
5/12A,23,13335.77433,1
5/12A,24,14062.387,1
5/12A,25,14358.419,1
5/12A,26,14522.389,1
5/12A,27,14726.938,1
5/12A,28,14904.074,1
5/12A,29,15281.587,1
5/12A,30,15547.407,
5/12A,31,15736.168,1
5/12A,32,15967.065,
5/12A,33,16261.654,
5/12A,34,16597.998,
5/12A,35,16807.253,1
5/12A,36,16996.511,
5/12A,37,17196.609,
5/12A,38,17427.641,
5/12A,39,17667.06,
5/12A,40,17894.942,
5/12C,1,1675.42025,
5/12C,2,2370.4475,
5/12C,3,2724.19975,
5/12C,4,3071.242,
5/12C,5,3390.446,1
5/12C,6,3770.50275,
5/12C,7,4099.12875,1
5/12C,8,4446.4985,
5/12C,9,4771.8755,1
5/12C,10,5144.454,1
5/12C,11,5473.852,1
5/12C,12,5889.302,
5/12C,13,6216.457333,
5/12C,14,6518.627,1
5/12C,15,6857.983,
5/12C,16,7536.015,
5/12C,17,8447.7695,
5/12C,18,9704.9595,1
5/12C,19,10356.74,1
5/12C,20,11295.64833,1
5/12C,21,11685.8245,1
5/12C,22,11960.781,
5/12C,23,12098.897,1
5/12C,24,12317.574,1
5/12C,25,12431.882,1
5/12C,26,12560.063,1
5/12C,27,12670.136,1
5/12C,28,12920.425,1
5/12C,29,13627.689,1
5/12C,30,14255.099,1
5/12C,31,14400.2065,
5/12C,32,14630.219,
5/12C,33,14780.966,1
5/12C,34,15124.433,1
5/12C,35,15339.864,
5/12C,36,15622.803,
5/12C,37,15798.749,
5/12C,38,16092.644,
5/12C,39,16403.265,
5/12C,40,16684.335,
5/5A,1,143.544,
5/5A,2,527.957,
5/5A,3,871.302,
5/5A,4,1218.902,1
5/5A,5,1539.811,1
5/5A,6,1926.551,1
5/5A,7,2252.775,1
5/5A,8,2610.04,1
5/5A,9,2956.655,1
5/5A,10,3278.197,1
5/5A,11,3661.463,
5/5A,12,3989.928,
5/5A,13,4344.04,1
5/5A,14,4700.091,1
5/5A,15,5094.605,
5/5A,16,5418.747,1
5/5A,17,5825.517,1
5/5A,18,6142.319,1
5/5A,19,6472.019,
5/5A,20,6765.291,
5/5A,21,7945.183,
5/5A,22,10106.895,1
5/5A,23,11537.193,
5/5A,24,12061.11,1
5/5A,25,12495.791,1
5/5A,26,12760.688,1
5/5A,27,14001.87,1
5/5A,28,14495.475,1
5/5A,29,14858.687,1
5/5A,30,15470.613,
5/5A,31,15912.038,
5/5A,32,16522.949,
5/5B,1,-65.67166667,
5/5B,2,-64.93366667,
5/5B,3,-63.02766667,
5/5B,4,-58.56166667,
5/5B,5,-43.27933333,
5/5B,6,20.627,1
5/5B,7,251.1953333,1
5/5B,8,630.1783333,
5/5B,9,980.7913333,1
5/5B,10,1327.05,
5/5B,11,1675.42025,
5/5B,12,2030.145667,1
5/5B,13,2370.4475,
5/5B,14,2724.19975,
5/5B,15,3071.242,
5/5B,16,3390.446,
5/5B,17,3770.50275,1
5/5B,18,4099.12875,
5/5B,19,4446.4985,1
5/5B,20,5010.5965,
5/5B,21,5714.2335,
5/5B,22,6405.1755,
5/5B,23,7324.9405,1
5/5B,24,9507.3665,
5/5B,25,11014.03333,
5/5B,26,11907.11167,1
5/5B,27,12249.18,
5/5B,28,12537.46333,1
5/5B,29,12848.375,1
5/5B,30,14163.1305,
5/5B,31,14577.573,1
5/5B,32,14988.808,
5/5B,33,16340.208,
5/6B,3,-64.2675,
5/6B,4,-61.5675,
5/6B,5,-54.6875,
5/6B,6,-24.6385,
5/6B,7,78.6475,1
5/6B,8,417.2965,
5/6B,9,757.365,
5/6B,10,1107.7355,1
5/6B,11,1448.1925,
5/6B,12,1827.4815,1
5/6B,13,2150.7305,
5/6B,14,2511.2645,
5/6B,15,2860.9845,
5/6B,16,3196.082,
5/6B,17,3520.0545,
5/6B,18,3902.1405,
5/6B,19,4225.191,
5/6B,20,4565.2335,
5/6B,21,4862.852,
5/6B,22,5218.7275,
5/6B,23,5551.3195,
5/6B,24,5983.008,
5/6B,25,6303.577,
5/6B,26,6583.2055,
5/6B,27,7003.463,
5/6B,28,7717.1415,
5/6B,29,8685.1765,
5/6B,30,9947.919,
5/6B,31,10552.57,
5/6B,32,11459.085,
5/6B,33,11783.5675,
5/6B,34,12001.643,
5/6B,35,12149.5825,
5/6B,36,12359.2105,
5/6B,37,12471.644,
5/6B,38,12579.2465,
5/6B,39,12716.7025,
5/6B,40,13021.011,1
5/6B,41,13836.5435,
5/6B,42,14317.114,
5/6B,43,14452.4155,1
5/6B,44,14675.641,1
5/6B,45,14818.756,
5/6B,46,15200.141,1
5/6B,47,15402.629,
5/6B,48,15680.657,
5/6B,49,15860.262,1
5/6B,50,16177.254,
5/6B,51,16462.563,