RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
1,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1Forward,,,"Strong AM groove, pits",,,8.08,3.92,,,,,,,3.12,1218.902,Holocene,,5,5,A,4,4
2,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"Strong AM groove, all the way down",,,,3.91,,,,,,,2.94,1539.811,Holocene,,5,5,A,5,5
3,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1-M2,,,"Shallow AM groove, Buccal re-entrant on M2 pinched",,,,3.2,2.6,,,,,,2.95,1539.811,Holocene,,5,5,A,5,5
4,c.f. Neotoma fuscipes,Neotoma fuscipes,L,maxilla,upper M2,,,,Buccal medial loph bent,N. lepida?,,,,,2.5,,,,,2.21,1926.551,Holocene,,5,5,A,6,6
5,Neotoma lepida,Neotoma lepida,R,mandible,lower M1,,,,"AM groove stops above ED junction, no pits, size",,,,3.13,,,,,,,2.63,1926.551,Holocene,,5,5,A,6,6
6,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,,"AM groove all the way down, pits",worn,,,3.46,,,,,,,1.57,1926.551,Holocene,,5,5,A,6,6
7,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1-M2,,,"Shallow anterior lingual groove on M1, angled lingual re-entrant on M2, no lingual pits",,,,3.45,,2.65,,,,,1.28,2252.775,Holocene,,5,5,A,7,7
8,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m2Forward,missing m2.inc,,"Size, AM groove stops above ED junction",very worn,5.22,,3.14,,,,,,,1.2,2252.775,Holocene,,5,5,A,7,7
9,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1,,,AM groove absent,M1 broken and worn,,,3.72,,,,,,,1.02,2252.775,Holocene,,5,5,A,7,7
10,Neotoma lepida,Neotoma lepida,R,mandible,lower M2,,,Burned,Buccal posterior reentrant deeper than anterior and angled down,,,,,,2.45,,,,,3.63,2252.775,Holocene,,5,5,A,7,7
11,Neotoma fuscipes,Neotoma fuscipes,L,mandible,lower M2,,,,"No pits at base of grooves, Buccal posterior re-entrant deeper than anterior and angled up",,,,,,2.84,,,,,2.44,2252.775,Holocene,,5,5,A,7,7
12,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1Forward,missing m1.inc,Burned,,Can't distinguish between fuscipes and cinerea,7.43,,3.65,,,,,,,,2252.775,Holocene,,5,5,A,7,7
13,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"Pits, AM groove visible",very worn,,,3.82,,,,,,,0.79,2610.04,Holocene,,5,5,A,8,8
14,Neotoma fuscipes,Neotoma fuscipes,L,mandible,lower M1,,,,"No pits, AM groove very shallow, Buccal REs are pinched, assymetric, and extend unequal depths into the tooth",worn,,,3.37,,,,,,,1.34,2610.04,Holocene,,5,5,A,8,8
15,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1, ,,,"Big pits, strong grooves, AM groove all the way down",,,,3.67,,,,,,,4.18,2956.655,Holocene,,5,5,A,9,9
16,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,M1Only,,,"Strong AM groove, all the way down",,,,3.52,,,,,,,4.29,2956.655,Holocene,,5,5,A,9,9
17,Neotoma fuscipes,Neotoma fuscipes,L,mandible,mandible,M3-M2,,,"no pits, M2 posterior buccal, reentrant angled up, size",,,,,,,,,,,1.04,2956.655,Holocene,,5,5,A,9,9
18,Neotoma lepida,Neotoma lepida,R,maxilla,maxilla,M2-M1,,,"no pits, AL groove on M1 shallow/gone, M@ lingual reentrant angled, size",,,,3.14,,2.72,,,,,1.79,2956.655,Holocene,,5,5,A,9,9
19,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,M3-M1,,burned,"pits on M1 and M2, AL groove still strong even though teeth worn, M2 lingual reentrant horizontal, size",,,9.28,4.02,,2.94,,2.8,,,1.59,2956.655,Holocene,,5,5,A,9,9
20,Neotoma lepida,Neotoma lepida,L,maxilla,upper M1,,,,"size, no pits, AL groove ends well above ED junction, scalloped buccal mesial loph",,,,3.2,,,,,,,3.28,2956.655,Holocene,,5,5,A,9,9
21,Neotoma lepida,Neotoma lepida,R,mandible,lower M2,,,,"no pits, posterior buccal reentrant angled down, size",,,,,,2.54,,,,,2.07,3278.197,Holocene,,5,5,A,10,10
22,Neotoma lepida,Neotoma lepida,L,mandible,mandible,M3-inc,missing m1-m3,,size,,5.2,8.26,,,,,,,,,4344.04,Holocene,,5,5,A,13,13
23,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,complete,,,"strong grooves, AL groove all the way down, M2 lingual reentrant broad, M3 posterior buccal rentrant open and short, tissue attached",,,10.22,3.45,,2.74,,2.55,,,2.86,4700.091,Holocene,,5,5,A,14,14
24,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,M2-M1,,,"AL groove shallow, ends high, M2 lingual rentrant angled, size. On reinspection, M2 lingual renetrents look broad.  RE pits visible.  Revising to cinerea.","Was originally fuscipes, but re-looked at it on 10/16/25 and think cinerea",,,3.72,,3,,,,,3.31,4700.091,Holocene,,5,5,A,14,14
25,Neotoma fuscipes,Neotoma fuscipes,R,mandible,lower M2,,,,"Buccal posterior reentrant angled up, no pits, size",,,,,,2.71,,,,,1.98,4700.091,Holocene,,5,5,A,14,14
26,Neotoma lepida,Neotoma lepida,L,mandible,mandible,M2-front,"missing inc., M1 broken",,"M2 buccal reentrant, angle depth, size, no pits",,4.09,,,,2.63,,,,,2.89,4700.091,Holocene,,5,5,A,14,14
27,Neotoma lepida,Neotoma lepida,L,mandible,mandible,M3-M1,M1 & M3 broken,,"no pits, size",teeth very worn,,,,,2.79,,,,,1.51,4700.091,Holocene,,5,5,A,14,14
28,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,M3-M1,missing all,,size,,,8,,,,,,,,,4700.091,Holocene,,5,5,A,14,14
29,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,M2-M1,,,"strong AM groove, pits, wide buccal reentrants, size, tissue attached",,,,3.96,,3.11,,,,,4.1,5418.747,Holocene,,5,5,A,16,16
30,Neotoma lepida,Neotoma lepida,L,maxilla,upper M2,,,,"lingual reentrant angular, buccal reentrant deep, no pits, size",,,,,,2.34,,,,,2.47,5825.517,Holocene,,5,5,A,17,17
31,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M2-M1,,,"AM groove absent, worn, no pits, size, M2 lingual reentrant, pinched",,,,3.74,,2.68,,,,,1.56,6142.319,Holocene,,5,5,A,18,18
32,Neotoma lepida,Neotoma lepida,L,maxilla,upper M2,,,,"no pits, lingual renetrant angle, size",,,,,,2.46,,,,,2.62,6142.319,Holocene,,5,5,A,18,18
33,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,"pits, strong AM groove all the way down",,,,3.8,,,,,,,2.44,6142.319,Holocene,,5,5,A,18,18
34,Neotoma lepida,Neotoma lepida,R,mandible,lower M1,,,,"AM groove ends, before ED junction, no pits, size",,,,2.85,,,,,,,3.01,6142.319,Holocene,,5,5,A,18,18
35,Neotoma sp.,Neotoma sp.,R,mandible,mandible,M!,missing M1,,,,,,,,,,,,,,6142.319,Holocene,,5,5,A,18,18
36,Neotoma sp.,Neotoma sp.,unknown,mandible,mandible,,,Burned,,one tooth socket,,,,,,,,,,,2610.04,Holocene,,5,5,A,8,8
37,Neotoma sp.,Neotoma sp.,R,mandible,mandible,M2,missing M2,Burned,,dark brown,,,,,,,,,,,5825.517,Holocene,,5,5,A,17,17
48,Neotoma lepida,Neotoma lepida,L,mandible,mandible,M1 forward,missing all,,size,,5.06,,,,,,,,,,1926.551,Holocene,,5,5,A,6,6
270,Neotoma fuscipes,Neotoma lepida,R,mandible,mandible,m1-m2,m1 anterior broken,,"m1 reentrant angles, no pits, buccal posterior on reentrant deeper than anterior and angled up","Lepida? Originally called fuscipes, but small and old.  Anterior loph rounded - no divet.",,,,,2.84,,,,,2.89,10106.895,Holocene,,5,5,A,22,22
271,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m3-m1,"m1 socket broken, missing m3,m1",,size,,,,,,3.44,,,,,2.52,12061.11,Pleistocene,,5,5,A,24,24
272,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,AM groove doesn't go all the way down but buccal REs are broad and extend the same depth into the tooth,very worn,,,3.91,,,,,,,2.97,12061.11,Pleistocene,,5,5,A,24,24
273,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,,buccal reentrants wide. Same depth,,,,,,3.06,,,,,3.31,12061.11,Pleistocene,,5,5,A,24,24
274,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,,"anterior groove goes all the way down, pits",,,,3.63,,,,,,,3.04,12495.791,Pleistocene,,5,5,A,25,25
275,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"AM groove all the way down, buccal pits, buccal reentrants broad, not pinched",,,,3.81,,,,,,,2.65,12760.688,Pleistocene,,5,5,A,26,26
276,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,"Am groove all the way down, pits, very high crowned still",beautiful tooth,,,3.75,,,,,,,5.37,12760.688,Pleistocene,,5,5,A,26,26
277,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,"Am groove all the way down, pits, very high crowned still",,,,3.71,,,,,,,4.97,14001.87,Pleistocene,,5,5,A,27,27
278,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,missing all,,size,,6.64,,3.61,,,,,,,,14001.87,Pleistocene,,5,5,A,27,27
279,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,,"AM groove all the way, pits",,,,3.73,,,,,,,3.11,14495.475,Pleistocene,,5,5,A,28,28
280,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,,"pits, re-entrant angles and oppenness, AM groove all the way down but not very pinched (?)",,,,3.67,,,,,,,2.59,14495.475,Pleistocene,,5,5,A,28,28
281,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M3,,,,"strong grooves. Lingual re-entrant broad, post buccal RE fairly open",,,,,,,,2.26,,,2.86,14495.475,Pleistocene,,5,5,A,28,28
282,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,pits are like holes,incredibly worn,,,3.94,,,,,,,0.96,14495.475,Pleistocene,,5,5,A,28,28
283,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,,"strong grooves to pits, open lingual re-entrant",,,,,,2.8,,,,,4.35,14858.687,Pleistocene,,5,5,A,29,29
517,Neotoma c.f. cinerea,Neotoma cinerea,R,maxilla,maxilla,complete,edent,,size,,,10.79,,,,,,,,,14001.87,Pleistocene,,5,5,A,27,27
518,Neotoma sp.,Neotoma sp.,L,mandible,mandible,m1 only,edent,Burned,"double rooted m1, size",,,,,,,,,,,,14001.87,Pleistocene,,5,5,A,27,27
519,Neotoma sp.,Neotoma sp.,L,mandible,mandible,m1-m3 only,edent,,"double rooted m1, size","m1, m3 alveolae broken",,,,,,,,,,,12061.11,Pleistocene,,5,5,A,24,24
522,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m1 forward,m1 broken,,"m1 root, fenestra position, size",,,8.21,,,,,,,,,12495.791,Pleistocene,,5,5,A,25,25
1143,Neotoma fuscipes,Neotoma fuscipes,R,mandible,mandible,m2 forward,missing incisor,Burned,"AM groove on m1 not present, tooth worn but would still be visible on N. cinerea, m2 buccal posterior angle extendsin further than anterior and is angled",,,,3.58,1.93,3.16,2.4,,,,0.6,4289.818,Holocene,,5,12,A,2,2
1144,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,complete,edent,,,,,10.37,,,,,,,,,4932.03,Holocene,,5,12,A,4,4
1145,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,m1 only,edent,Burned,,,,,,,,,,,,,4932.03,Holocene,,5,12,A,4,4
1146,Neotoma fuscipes,Neotoma fuscipes,L,mandible,mandible,m2-m3,,,buccal RE's on m2,,,,,,2.77,2.13,,,,,5302.199,Holocene,,5,12,A,5,5
1147,Neotoma lepida,Neotoma lepida,L,mandible,mandible,complete,edent,,size,,4.57,8.05,,,,,,,,,5302.199,Holocene,,5,12,A,5,5
1148,Neotoma lepida,Neotoma lepida,R,mandible,mandible,complete,missing m1-m3,,size,,5.34,8.17,,,,,,,,2,5302.199,Holocene,,5,12,A,5,5
1149,Neotoma lepida,Neotoma lepida,R,mandible,mandible,m2 forward,"missing m2, incisor, m1 roots only",Burned,size,,5.06,,3.11,1.55,,,,,,,5302.199,Holocene,,5,12,A,5,5
1150,c.f. Neotoma fuscipes,Neotoma fuscipes,L,mandible,mandible,m2 forward,,,buccal RE's on m1 and anterior m1 loph shape,encrusted and crumbling,,,3.78,2.61,,,,,,,6055.273,Holocene,,5,12,A,7,7
1151,Neotoma lepida,Neotoma lepida,R,mandible,mandible,m2 forward,edent,Burned,size,diastema broken,,,,,,,,,,,6345.524,Holocene,,5,12,A,8,8
1152,Neotoma lepida,Neotoma lepida,L,mandible,lower M2,,,,"buccal RE's open not pinched, extend all the way down tooth",,,,,,3.11,2.21,,,,3.41,7120.808,Holocene,,5,12,A,10,10
1153,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"AM groove all the way down, PE pits",,,,3.76,2.13,,,,,,2.54,7120.808,Holocene,,5,12,A,10,10
1154,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,complete,edent,Burned,size,,6.7,10.57,,,,,,,,,12037.622,Pleistocene,,5,12,A,17,17
1155,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,lower M2,,,Burned,"buccal RE's, grooves all the way down",,,,,,3.45,2.5,,,,1.94,12396.27,Pleistocene,,5,12,A,19,19
1156,c.f. Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,deep RE's to pits,"anterior, buccal broken",,,,,,2.28,,,,3.56,12396.27,Pleistocene,,5,12,A,19,19
1157,c.f. Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,deep RE's to pits,,,,,,3.27,2.38,,,,3.88,12396.27,Pleistocene,,5,12,A,19,19
1158,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,"deep RE's to pits, wide open buccal angles",anterior loph broken,,,,2.32,,,,,,3.2,12396.27,Pleistocene,,5,12,A,19,19
1159,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1 forward,edent,Burned,,,6.81,,,,,,,,,,12396.27,Pleistocene,,5,12,A,19,19
1160,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 forward,edent,Burned,,,,,,,,,,,,,12396.27,Pleistocene,,5,12,A,19,19
1161,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1 forward,,,"Am groove, pits, RE buccal angles",,6.27,,3.75,1.91,,,,,,4.19,12396.27,Pleistocene,,5,12,A,19,19 ash
1162,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,posterior loph broken,Burned,"groove to pits, open buccal RE angles",anterior loph broken,,,,,,2.07,,,,4.17,12396.27,Pleistocene,,5,12,A,19,19 ash
1163,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,"groove to pits, open buccal RE angles",,,,,,3.2,2.43,,,,2.65,12396.27,Pleistocene,,5,12,A,19,19 ash
1164,Neotoma sp.,Neotoma sp.,R,mandible,mandible,m1 forward,edent,Burned,"alveolae, but really big?",diastema broken,,,,,,,,,,,12396.27,Pleistocene,,5,12,A,19,19 ash
1165,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 back,edent,Burned,,,,10.72,,,,,,,,,12396.27,Pleistocene,,5,12,A,19,19 ash
1166,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,anterior and posterior lophs broken,Burned,"buccal RE surfaces, size",,,,,,,2.19,,,,2.28,12510.088,Pleistocene,,5,12,A,20,20
1167,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,beautiful pits and AM groove,,,,3.66,1.97,,,,,,4.75,12510.088,Pleistocene,,5,12,A,20,20
1168,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,beautiful pits and AM groove,,,,3.66,1.87,,,,,,3.28,12510.088,Pleistocene,,5,12,A,20,20
1169,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,beautiful pits and AM groove,,,,3.88,2.25,,,,,,2.32,12510.088,Pleistocene,,5,12,A,20,20
1170,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,beautiful pits and AM groove,,,,4.06,2.1,,,,,,3.43,12510.088,Pleistocene,,5,12,A,20,20
1171,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m2 only,missing m2,Burned,,,,,,,,,,,,,12510.088,Pleistocene,,5,12,A,20,20
1172,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,anterior lophs broken,Burned,pits and RE grooves,,,,,,,2.49,,,,2.65,12625.737,Pleistocene,,5,12,A,21,21 ash
1173,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,AM groove,,,,3.98,2.09,,,,,,2.72,12625.737,Pleistocene,,5,12,A,21,21 ash
1174,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,anterior lophs broken,Burned,AM groove,,,,3.71,2.26,,,,,,2.49,12625.737,Pleistocene,,5,12,A,21,21 ash
1175,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,AM groove,,,,3.87,1.92,,,,,,2.31,12625.737,Pleistocene,,5,12,A,21,21 ash
1176,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,3.19,2.19,,,,2.86,12625.737,Pleistocene,,5,12,A,21,21 ash
1177,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,,,,,,,3.28,2.26,,,,3.4,12625.737,Pleistocene,,5,12,A,21,21 ash
1178,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,anterior lophs broken,Burned,,,,,,1.96,,,,,,,12625.737,Pleistocene,,5,12,A,21,21 ash
1179,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 only,edent,Burned,size,,,,,,,,,,,3.39,12625.737,Pleistocene,,5,12,A,21,21 ash
1180,Neotoma sp.,Neotoma sp.,R,mandible,mandible,diastema,edent,Burned,,,6.22,,,,,,,,,,12625.737,Pleistocene,,5,12,A,21,21 ash
1181,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m2 forward,edent,Burned,,,6.59,,,,,,,,,,12625.737,Pleistocene,,5,12,A,21,21 ash
1182,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,RE pits,anterior loph broken,,,,2.17,,,,,,2.61,12625.737,Pleistocene,,5,12,A,21,21 IB + ash
1183,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,posterior loph broken,,,,,,2.35,,,,2.07,12625.737,Pleistocene,,5,12,A,21,21 IB + ash
1184,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,missing m3,Burned,"m1 pits, AM groove",,7.46,10.5,3.61,2,2.89,2.06,,,,4.39,12786.481,Pleistocene,,5,12,A,22,22 ash
1185,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,broken in two,,,4.17,2.24,,,,,,3.39,12786.481,Pleistocene,,5,12,A,22,22
1186,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,,,,,3.52,1.86,,,,,,4.6,12786.481,Pleistocene,,5,12,A,22,22
1187,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,,not burned,,,3.76,1.99,,,,,,,13335.77433,Pleistocene,,5,12,A,23,23
1188,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,anterior loph broken,,,,2.22,,,,,,3.18,13335.77433,Pleistocene,,5,12,A,23,23 ash
1189,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,,,,,3.97,2.08,,,,,,3.71,13335.77433,Pleistocene,,5,12,A,23,23 ash
1190,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,,,,3.66,1.96,,,,,,3.49,13335.77433,Pleistocene,,5,12,A,23,23 ash
1191,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,,,,,3.73,1.92,,,,,,4.12,13335.77433,Pleistocene,,5,12,A,23,23 ash
1192,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,,,,4,2.21,,,,,,2.43,13335.77433,Pleistocene,,5,12,A,23,23 ash
1193,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,anterior loph broken,,,,2.13,,,,,,3.16,13335.77433,Pleistocene,,5,12,A,23,23 ash
1194,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,,,,4.18,2.28,,,,,,2.93,13335.77433,Pleistocene,,5,12,A,23,23 ash
1195,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,Burned,,,,,3.77,1.95,,,,,,3.9,13335.77433,Pleistocene,,5,12,A,23,23 ash
1196,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,,anterior loph broken,,,,1.98,,,,,,3.31,13335.77433,Pleistocene,,5,12,A,23,23 ash
1197,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,3.01,2.2,,,,3.96,13335.77433,Pleistocene,,5,12,A,23,23 ash
1198,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,3.12,1.97,,,,4.69,13335.77433,Pleistocene,,5,12,A,23,23 ash
1199,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,,,,,,,3.11,2.18,,,,3.31,13335.77433,Pleistocene,,5,12,A,23,23 ash
1200,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,3.23,2.08,,,,3.36,13335.77433,Pleistocene,,5,12,A,23,23 ash
1201,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,2.99,1.94,,,,4.95,13335.77433,Pleistocene,,5,12,A,23,23 ash
1202,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,,,,,,2.98,2.17,,,,3.86,13335.77433,Pleistocene,,5,12,A,23,23 ash
1203,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,anterior loph broken,,,,,3.14,2.17,,,,3.76,13335.77433,Pleistocene,,5,12,A,23,23 ash
1204,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,RE pits,very worn,,,,,3.57,2.61,,,,1.92,13335.77433,Pleistocene,,5,12,A,23,23 ash
1205,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,,"anterior loph broken, very worn",,,,,3.51,2.49,,,,2.71,13335.77433,Pleistocene,,5,12,A,23,23 ash
1206,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 forward,,Burned,,,,,,,,,,,,,13335.77433,Pleistocene,,5,12,A,23,23 ash
1207,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,"missing m2, m3",Burned,RE pits to grooves,,,10.57,3.63,1.94,,,,,,3.98,14062.387,Pleistocene,,5,12,A,24,24
1208,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 forward,edent,Burned,,,6.88,,,,,,,,,,14062.387,Pleistocene,,5,12,A,24,24
1209,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,RE pits to grooves,,,,3.82,1.9,,,,,,4.1,14062.387,Pleistocene,,5,12,A,24,24
1210,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,Burned,RE pits to grooves,,,,3.86,1.9,,,,,,3.37,14062.387,Pleistocene,,5,12,A,24,24
1211,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,RE pits to grooves,,,,,,3.32,2.2,,,,4.54,14062.387,Pleistocene,,5,12,A,24,24
1212,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,Burned,RE pits to grooves,,,,,,3.18,2.29,,,,2.33,14062.387,Pleistocene,,5,12,A,24,24
1213,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m3 forward,"missing incisor, m3",Burned,,,7.64,10.35,4.04,2.07,,,,,,3.4,14358.419,Pleistocene,,5,12,A,25,25 IB Ash + Charred
