RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
2465,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,edent,burned,Size,,,,,,,,,,,,11685.8245,Pleistocene,1830,5,12,C,21,
2467,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,Anteriormedial groove depth,,,,3.75,1.96,,,,,,3.34,11685.8245,Pleistocene,1830,5,12,C,21,
2468,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,,"Shape, RE pits",,,,,,3.27,2.39,,,,3.15,11685.8245,Pleistocene,1830,5,12,C,21,
2480,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m2 backward,missing m3,,"Size, RE pits",,,,,,2.89,2.19,,,,,11685.8245,Pleistocene,1830,5,12,C,21,
2486,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,burned,Anteriormedial groove depth,,,,3.61,2.39,,,,,,2.09,12317.574,Pleistocene,1830,5,12,C,24,1-B Ash Mix
2487,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 forward,,burned,Anteriormedial groove depth,posterior broken,,,,2.53,,,,,,2.19,12431.882,Pleistocene,1830,5,12,C,25,1-B Ash Mix
2493,Neotoma sp.,Neotoma sp.,L,maxilla,maxilla,m1 only,edent,burned,Alveolar pattern,,,,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,
2571,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,RE pits,,,,3.81,1.99,,,,,,2.98,12317.574,Pleistocene,1830,5,12,C,24,ASH
2572,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,burned,RE pits,,,,,,3.1,2.39,,,,4.11,12317.574,Pleistocene,1830,5,12,C,24,ASH
2573,Neotoma sp.,Neotoma sp.,unknown,unknown,molar fragment,,,burned,crown shape,,,,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,ASH
2574,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1 forward,,burned,"Size, RE groove extends all the way down",Was initially called N. fuscipes by SWH.  Tooth is very worn and the crown is broken.,,,3.92,,,,,,,1.76,12317.574,Pleistocene,1830,5,12,C,24,ASH
2576,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2-m3 only,edent,burned white,"Size, alveolar pattern",,,,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,ASH
2602,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m2 forward,edent,burned,Size,,,,,,,,,,7.75,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2603,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 forward,,burned white,"Size, RE pits, open RE angles",Tooth loose. Replaced in socket b/c fit well and same color,,,4.12,2.72,,,,,,1.99,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2604,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,"missing m1,m2,m3",burned grey,Size,,,10.01,3.98,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2605,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,edent,burned,,,7.68,10.4,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2606,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,edent,burned glossy black,,"broken in half at m1, AL measurement ()",6.92,10.27,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2607,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m1 forward,edent,burned,,,7.19,,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2666,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,burned,Re pits,,,,,,3.23,2.11,,,,4,12560.063,Pleistocene,1829,5,12,C,26,
2667,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,Re pits,,,,3.33,1.95,,,,,,3.92,12560.063,Pleistocene,1829,5,12,C,26,
2668,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,Re pits,,,,3.72,2.11,,,,,,3.52,12560.063,Pleistocene,1829,5,12,C,26,
2669,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,burned,Re pits,,,,3.76,2.03,,,,,,2.84,12560.063,Pleistocene,1829,5,12,C,26,
2670,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,posterior fragment only,,burned,Re pits,,,,,2.35,,,,,,2.1,12560.063,Pleistocene,1829,5,12,C,26,
2671,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,anterior 3/4,,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,3.72,2.45,,,,,,2.6,12560.063,Pleistocene,1829,5,12,C,26,
2672,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,2.99,2.43,,,,1.03,12560.063,Pleistocene,1829,5,12,C,26,
2673,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,2.91,2.61,,,,,12560.063,Pleistocene,1829,5,12,C,26,
2674,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M3,,,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,,,2.55,,,1.64,12560.063,Pleistocene,1829,5,12,C,26,
2675,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M3,,,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,,,2.7,,,1.04,12560.063,Pleistocene,1829,5,12,C,26,
2676,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m2 forward,missing m1,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,3.09,2.47,,,,1.9,12560.063,Pleistocene,1829,5,12,C,26,
2677,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m2 backward,missing m2,burned,"Anterior lingual groove depth, lingual and buccal RE pits",,,,,,,,2.66,,,1.23,12560.063,Pleistocene,1829,5,12,C,26,
2697,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 forward,,burned,"Anterior Groove depth is all the way down, RE pits",,,,3.67,,,,,,,1.28,12560.063,Pleistocene,1829,5,12,C,26,
2718,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m1 forward,,burned,"Size, shape of bone in front of M1",,,,,,,,,,,,12560.063,Pleistocene,1829,5,12,C,26,
2776,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,burned,"RE pits, shape of enamel",,,,3.35,1.79,,,,,,3.42,12670.136,Pleistocene,1829,5,12,C,27,
2777,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,burned,"RE pits, shape of enamel",,,,4.06,2.08,,,,,,3.27,12670.136,Pleistocene,1829,5,12,C,27,
2778,Neotoma sp.,Neotoma sp.,unknown,unknown,cheek tooth,fragment,,burned,Shape,,,,,,,,,,,,12670.136,Pleistocene,1829,5,12,C,27,
2779,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 forward,edent,burned,"Size, Alveolar shape and pattern",,8.37,,,,,,,,,,12670.136,Pleistocene,1829,5,12,C,27,
2780,Neotoma sp.,Neotoma sp.,L,mandible,mandible,m1 only,edent,,Alveolus shape and size - not large enough to be clearly cin.fusc,,,,,,,,,,,,12670.136,Pleistocene,1829,5,12,C,27,
2781,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,m1 forward,edent,burned,"Size, alveolar shape",,,,,,,,,,,,12670.136,Pleistocene,1829,5,12,C,27,
2815,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,posterior half,,burned,"RE pits, Size",,,,,,,,,,,,12670.136,Pleistocene,1829,5,12,C,27,
2845,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,edent,burned,"Size, alveolar pattern",,6.08,,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,
2846,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,complete,"missing m1,m2,m3",,"Size, alveolar pattern","Large crystals on diastema, incisor housing broken",,10.49,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,
2872,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m1 forward,edent,burned,"Alveolar shape, Size",,,,,,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2873,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,burned,"RE pits, shape of enamel",,,,,,2.86,2.61,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2874,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,burned,"RE pits, shape of enamel",,,,,,3.11,2.22,,,,4.39,12431.882,Pleistocene,1829,5,12,C,25,
2875,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,burned,"RE pits, shape of enamel",,,,,,2.93,2.38,,,,3,12431.882,Pleistocene,1829,5,12,C,25,
2876,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,"RE pits, shape of enamel",,,,3.5,1.72,,,,,,3.17,12431.882,Pleistocene,1829,5,12,C,25,
2877,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,"RE pits, shape of enamel",,,,3.75,1.96,,,,,,4.04,12431.882,Pleistocene,1829,5,12,C,25,
2878,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,burned,"RE pits, shape of enamel",,,,3.83,2.15,,,,,,2.88,12431.882,Pleistocene,1829,5,12,C,25,
2879,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,burned,"RE pits, shape of enamel",,,,3.74,2.51,,,,,,1.8,12431.882,Pleistocene,1829,5,12,C,25,
2884,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,edent,burned,"Alveolar pattern, Size",,5.99,,,,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2885,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,complete,,burned,RE pits,,,,,,3,2.21,,,,1.31,12431.882,Pleistocene,1829,5,12,C,25,
2886,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,complete,,burned,RE pits,,,,,,3.08,2.33,,,,3.8,12431.882,Pleistocene,1829,5,12,C,25,
2887,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,posterior 2/3,,burned,RE pits,,,,,,,2.32,,,,3.15,12431.882,Pleistocene,1829,5,12,C,25,
2888,Neotoma cin.fusc,Neotoma cin.fusc,unknown,maxilla,molar fragment,upper molar root fragment,,burned,Size,,,,,,,,,,,2.36,12431.882,Pleistocene,1829,5,12,C,25,
2927,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,complete,,burned,"RE pits, angles",,,,3.61,2.13,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2928,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,complete,,burned,"RE pits, angles",,,,3.66,1.93,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2929,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,posterior 2/3,,burned,"RE pits, angles",,,,,2.27,,,,,,3.66,12431.882,Pleistocene,1829,5,12,C,25,
2934,Neotoma sp.,Neotoma sp.,unknown,maxilla,upper molar side fragment,,,burned,,,,,,,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2963,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m1 forward,edent,,Size,,,,,,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2964,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,"RE pits, angles",,,,3.54,1.87,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2965,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,diastema forward,,,mandibular foramen and symphysis shape,,,,,,,,,,,,12431.882,Pleistocene,1829,5,12,C,25,
2994,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,,RE pits,,,,3.77,2.31,,,,,,,13627.689,Pleistocene,1829,5,12,C,29,
2995,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M3,,,,RE pits,,,,,,,,2.46,2.02,,,13627.689,Pleistocene,1829,5,12,C,29,
2996,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,,,,,,3.88,2.54,,,,,,,13627.689,Pleistocene,1829,5,12,C,29,
3010,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,RE pits and grooves,,,,3.62,2.02,,,,,,,14780.966,Pleistocene,1829,5,12,C,33,
3011,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,,RE pits and grooves,,,,,,3.14,2.06,,,,,14780.966,Pleistocene,1829,5,12,C,33,
3029,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M3,,,burned,RE's have open shape,,,,,,,,2.81,,,,12920.425,Pleistocene,1829,5,12,C,28,
3030,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,burned,RE's have open shape,,,,,,2.86,,,,,,12920.425,Pleistocene,1829,5,12,C,28,
3044,Neotoma sp.,Neotoma sp.,R,mandible,mandible,m1 forward,edent,,Alveolar pattern,,7.7,,4.14,2.25,,,,,,,12920.425,Pleistocene,1829,5,12,C,28,
3063,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1 forward,,,REs,Dirty,,,3.77,2.3,,,,,,,15124.433,Pleistocene,1829,5,12,C,34,
3115,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,,RE pits,,,,,,3.1,,,,,,14255.099,Pleistocene,1829,5,12,C,30,
3164,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1-m2 only,,burned,Teeth,Broken in two,,,4.38,,3.14,,,,,3.91,12098.897,Pleistocene,1830,5,12,C,23,
3165,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1 forward,missing inc,burned,REs,,6.69,,3.43,,,,,,,3.07,12317.574,Pleistocene,1830,5,12,C,24,
3209,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,complete,"missing m2,m3",,,,,9.73,3.93,2.13,,,,,,,12537.46333,Pleistocene,1374,5,5,B,28,
3210,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,m1 forward,edent,,"Shape, size",Buccal only,,,,,,,,,,,12537.46333,Pleistocene,1374,5,5,B,28,
3211,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m3 only,edent,,Size,Might be same individual as RCT 3212,,,,,,,,,,,12537.46333,Pleistocene,1374,5,5,B,28,
3212,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1-m2 only,edent,,,Might be same individual as RCT 3211,,,,,,,,,,,12537.46333,Pleistocene,1374,5,5,B,28,
3227,Neotoma fuscipes,Neotoma fuscipes,R,mandible,mandible,m1 forward,,,Enamel RE angles,Diastema broken,,,3.44,1.89,,,,,,,7324.9405,Holocene,1374,5,5,B,23,
3237,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,,"RE pits, anterior lingual RE extends down to base",,,,3.69,2.28,,,,,,,11907.11167,Pleistocene,1374,5,5,B,26,
3238,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,,"Enamel pattern, RE pits",Very worn tooth,,,,,3.57,2.33,,,,,11907.11167,Pleistocene,1374,5,5,B,26,
3246,c.f. Neotoma sp.,Neotoma sp.,L,mandible,mandible,diastema only,edent,,"Size, mandibular foramen",diastema broken,,,,,,,,,,,11907.11167,Pleistocene,1374,5,5,B,26,
3623,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,diastema backwards,,,"Enamel pattern, RE pits and angles",Very worn. Likely same individual as 3622 and 3624,,9.39,3.63,1.97,3.03,,2.07,,,0.71,0,Modern,,5,,,June 2023 surface sweep,
3628,Neotoma cinerea,Neotoma cinerea,B,mandible,mandible,complete,,,"RE pits, angles",Same individual as 3627,8.07,9.56,3.61,2.05,2.86,2.12,2.49,1.92,,2.36,0,Modern,,5,,,June 2023 surface sweep,
3630,Neotoma cinerea,Neotoma cinerea,B,mandible,mandible,complete,,,"RE pits, angles",Same individual as 3629. Teeth super worn.,8.5,9.33,3.72,2.1,3.24,2.14,2.35,1.77,,0.65,0,Modern,,5,,,June 2023 surface sweep,
3641,Neotoma sp.,Neotoma sp.,R,maxilla,maxilla,m2-m3 only,edent,,Alveolar pattern,damaged,,,,,,,,,,,14577.573,Pleistocene,1374,5,5,B,31,
3642,Neotoma sp.,Neotoma sp.,R,maxilla,upper M2,,,,Dental pattern,,,,,,3.68,,,,,,14577.573,Pleistocene,1374,5,5,B,31,
3643,Neotoma sp.,Neotoma sp.,R,mandible,mandible,diastema only,edent,,Alveolar pattern,,7.85,,,,,,,,,,14577.573,Pleistocene,1374,5,5,B,31,
3646,Neotoma sp.,Neotoma sp.,R,mandible,mandible,diastema only,,,Dental pattern,,8.49,,,,,,,,,,14577.573,Pleistocene,1374,5,5,B,31,
3695,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,,"RE angles broad, Groove goes down",,,,3.56,2.14,,,,,,4.34,14577.573,Pleistocene,1374,5,5,B,31,
3696,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,,"RE pits, angles",,,,,,3.02,,,,,3.93,14577.573,Pleistocene,1374,5,5,B,31,
3698,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,missing m3,,Anterior RE pits,teeth worn,8.71,9.52,3.73,2.03,3.03,,,,,1.03,14577.573,Pleistocene,1374,5,5,B,31,
3728,Neotoma lepida,Neotoma lepida,R,maxilla,maxilla,complete,,,"RE angles pinched, no RE pits, size",,,,,,,,,,,,,,1294,5,6,B,2,
3748,Neotoma lepida,Neotoma lepida,L,maxilla,maxilla,m1 only,,,"size, pinched Res",,,,3.11,2.05,,,,,,,78.6475,Holocene,1294,5,6,B,7,
3773,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,,"RE pits, broad buccal Res",,,,,,3.07,2.62,,,,,1107.7355,Holocene,1294,5,6,B,10,
3781,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m1-m3 only,edent,,"Alveolar pattern, size",m1 socket broken,,,1.81,2.2,1.75,,,,,,1107.7355,Holocene,1294,5,6,B,10,
3800,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,ramus forward,missing m3,,"Dental pattern, size",Teeth very worn,7.48,11.01,4.39,2.18,3.76,,,,,,1827.4815,Holocene,1294,5,6,B,12,
3838,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,"RE angles, pits",,,,4.11,2,,,,,,3.67,13021.011,Pleistocene,1294,5,6,B,40,
3839,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,Anterior broken,,"RE angles, pits",,,,,2.07,,,,,,4.76,13021.011,Pleistocene,1294,5,6,B,40,
3859,Neotoma cinerea,Neotoma cinerea,R,mandible,lower m2,,,,"Dental pattern, Size",,,,,,3.29,2.32,,,,1.48,14452.4155,Pleistocene,1294,5,6,B,43,
3867,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,m1-m3 only,"missing m1,m3",,RE angles,,,11,,,3.61,2.19,,,,3.31,14452.4155,Pleistocene,1294,5,6,B,43,
3899,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,"missing inc,m2,m3",,"Dental pattern, Res",Suspect M1W measurement of 1.52,7.68,10.11,3.88,2.12,,,,,,3.66,14675.641,Pleistocene,1294,5,6,B,44,
3900,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,anterior broken,,"Dental pattern, Res",,,,,2.12,,,,,,3.03,14675.641,Pleistocene,1294,5,6,B,44,
3901,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,upper M2,,,,Dental pattern,,,,,,3.02,2.28,,,,2.97,14675.641,Pleistocene,1294,5,6,B,44,
3937,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,complete,missing m3,,"Dental pattern, RE angles, RE pits",,7.72,10.22,3.86,1.87,,,,,,3.66,15200.141,Pleistocene,1294,5,6,B,46,
3991,Neotoma cinerea,Neotoma cinerea,R,mandible,mandible,complete,missing m3,,"Dental pattner, RE Angles, pits",m2 broken,7.69,9.99,3.9,2.2,,,,,,4.14,15860.262,Pleistocene,1294,5,6,B,49,
4029,Neotoma lepida,Neotoma lepida,R,mandible,mandible,m3 forward,"missing m1,m2,m3",,"Alveolar pattern, Size",,4.97,8.48,,,,,,,,,20.627,Holocene,1374,5,5,B,6,
4030,Neotoma lepida,Neotoma lepida,R,maxilla,maxilla,m1 only,,,"RE angles, shallower AL groove, Size",,6.77,7.52,2.88,1.62,,,,,,0.87,20.627,Holocene,1374,5,5,B,6,
4053,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m1 forward,missing m1,,Alveolar pattern,,5.12,,,,,,,,,,251.1953333,Holocene,1374,5,5,B,7,
4063,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m1 forward,,,RE pits,,5.96,,3.08,1.66,,,,,,0.85,251.1953333,Holocene,1374,5,5,B,7,
4064,Neotoma c.f. lepida,Neotoma lepida,L,mandible,lower M2,,,,"RE angles and depth, Size",,,,,,2.47,,,,,2.83,251.1953333,Holocene,1374,5,5,B,7,
4065,Neotoma c.f. lepida,Neotoma lepida,L,mandible,lower M1,,anterior broken,,"RE angles, Size",anterior broken,,,2.93,1.67,,,,,,2.47,251.1953333,Holocene,1374,5,5,B,7,
4066,Neotoma c.f. lepida,Neotoma lepida,L,mandible,lower M2,,broken,,"RE angles, Size",,,,,,2.87,1.97,,,,,251.1953333,Holocene,1374,5,5,B,7,
4076,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,m2-m3 only,edent,,"Alveolar pattern, size",,,,,,,,,,,,251.1953333,Holocene,1374,5,5,B,7,
4086,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2 only,edent,,"Alveolar pattern, size",,,,,,,,,,,,251.1953333,Holocene,1374,5,5,B,7,
4131,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,burned,"Dental pattern, RE angles, RE pits",,,,3.08,2.01,,,,,,2.86,980.7913333,Holocene,1374,5,5,B,9,
4144,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,edent,,"Alveolar pattern, size",,,,,,,,,,,,1327.05,Holocene,1374,5,5,B,10,
4150,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,m1 forward,,,"RE angles, anterior medial groove on m1 not present, size",posterior/anterior lophs broken,,,3.51,1.97,,,,,,2.46,2030.145667,Holocene,1374,5,5,B,12,
4180,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,upper M1,,,,"AM groove weak, Size",,,,3.61,2.34,,,,,,2.41,3770.50275,Holocene,1374,5,5,B,17,
4184,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"RE pits, AM groove",,,,3.71,1.92,,,,,,1.21,4446.4985,Holocene,1374,5,5,B,19,
4187,Neotoma lepida,Neotoma lepida,R,mandible,mandible,complete,"missing m2,m3",,"RE angles, anterior medial groove on m1 not present, size",,6.47,7.28,2.99,1.41,,,,,,0.74,0,Modern,,0,0,March 2025 Surface Collecting,Pellets,
RCT 590,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,13.46,9.53,3.62,2.4,2.35,,2.19,,6.4,,0,Modern,,,,,Modern trapping specimen,
RCT 591,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,10.54,8.18,3.53,2.02,1.89,,1.66,,5.77,,0,Modern,,,,,Modern trapping specimen,
RCT 592,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,10.54,8.04,3.07,1.95,1.82,,1.7,,5.27,,0,Modern,,,,,Modern trapping specimen,
RCT 599,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,14.42,11.03,3.92,2.6,2.69,,2.56,,6.83,,0,Modern,,,,,Modern trapping specimen,
RCT 607,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,13.49,10.21,3.66,2.24,2.55,,2.16,,6.45,,0,Modern,,,,,Modern trapping specimen,
RCT 608,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,14.13,9.67,3.93,1.95,2.42,,2.16,,6.52,,0,Modern,,,,,Modern trapping specimen,
RCT 625,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,9.73,8.15,3.23,1.77,1.89,,1.72,,5.44,,0,Modern,,,,,Modern trapping specimen,
RCT 626,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,9.62,7.71,3.07,1.8,1.88,,1.42,,5.45,,0,Modern,,,,,Modern trapping specimen,
RCT 670,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,9.93,8.28,3.43,1.85,1.86,,1.37,,5.49,,0,Modern,,,,,Modern trapping specimen,
RCT 684,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,9.86,8.05,3.24,1.75,1.84,,1.47,,5.55,,0,Modern,,,,,Modern trapping specimen,
RCT 685,Neotoma lepida,Neotoma lepida,,maxilla,Skull,,,,,,9.57,7.79,2.88,1.98,1.82,,1.36,,5.14,,0,Modern,,,,,Modern trapping specimen,
RCT 686,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,13.92,10.41,3.78,2.05,2.49,,2.42,,6.58,,0,Modern,,,,,Modern trapping specimen,
RCT 687,Neotoma cinerea,Neotoma cinerea,,maxilla,Skull,,,,,,14.37,10.25,3.61,2.22,2.56,,2.11,,6.61,,0,Modern,,,,,Modern trapping specimen,